FlightID,RouteID,DepartureDateTime,AircraftType,TotalCapacity,FlightStatus,FuelCost,CrewCost,AirportCost,OtherOperatingCost
F000036,R003,2025-01-03 15:00:00,Airbus A320,180,Completed,11029.72,3545.64,2817.19,764.47
F000037,R004,2025-01-03 10:30:00,Airbus A320,180,Completed,10365.87,3772.34,1805.4,1134.24
F000038,R005,2025-01-03 22:45:00,Airbus A320,180,Completed,3531.85,1229.12,1638.45,923.58
F000039,R005,2025-01-03 14:00:00,Boeing 737,160,Delayed,3158.25,1144.14,2969.7,661.58
F000040,R006,2025-01-03 19:00:00,Boeing 737,160,Completed,2989.46,1233.51,2855.89,1045.59
F000041,R006,2025-01-03 17:15:00,Airbus A320,180,Completed,3023.57,1165.22,2848.47,1296.12
F000042,R007,2025-01-03 17:15:00,Boeing 737,160,Completed,3643.2,1263.24,2339.83,1374.71
F000043,R008,2025-01-03 13:15:00,Boeing 737,160,Delayed,3794.44,1221.08,2604.85,832.19
F000044,R009,2025-01-03 13:30:00,Boeing 737,160,Completed,1087.61,359.34,2808.25,1358.59
F000045,R009,2025-01-03 13:15:00,Airbus A320,180,Completed,997.57,385.99,2806.98,722.92
F000046,R010,2025-01-03 18:30:00,Airbus A320,180,Completed,1103.45,391.46,1918.69,1141.48
F000047,R001,2025-01-04 16:00:00,Boeing 737,160,Completed,14638.99,4831.8,2370.88,1483.55
F000048,R001,2025-01-04 07:00:00,Airbus A320,180,Completed,13192.38,5091.78,2154.59,1484.24
F000049,R002,2025-01-04 18:15:00,Airbus A320,180,Completed,12372.09,4918.35,2279.88,1306.51
F000050,R003,2025-01-04 17:45:00,Boeing 737,160,Completed,11064.48,3847.35,2434.73,1163.39
F000051,R004,2025-01-04 15:30:00,Airbus A320,180,Completed,9800.05,3764.81,2331.62,691.84
F000052,R005,2025-01-04 11:30:00,Airbus A320,180,Completed,3298.32,1128.65,1930.37,929.89
F000053,R005,2025-01-04 16:45:00,Airbus A320,180,Completed,3229.21,1153.99,2209.78,1401.18
F000054,R006,2025-01-04 08:30:00,Airbus A320,180,Completed,3001.32,1241.7,1852.3,810.42
F000055,R007,2025-01-04 10:00:00,Boeing 737,160,Completed,3345.59,1278.81,2774.61,572.83
F000056,R008,2025-01-04 12:45:00,Airbus A320,180,Completed,3454.75,1236.82,2531.43,1392.66
F000057,R008,2025-01-04 09:45:00,Boeing 737,160,Completed,3296.97,1340.71,2276.94,550.22
F000058,R009,2025-01-04 09:45:00,Boeing 737,160,Completed,1090.5,380.27,2981.84,1095.45
F000059,R010,2025-01-04 22:45:00,Airbus A320,180,Completed,1110.21,383.11,2212.01,759.19
F000060,R010,2025-01-04 13:30:00,Airbus A320,180,Completed,1054.57,365.57,1616.23,785.73
F000061,R001,2025-01-05 16:30:00,Boeing 737,160,Completed,12627.97,4816.97,2540.92,1206.42
F000062,R001,2025-01-05 08:45:00,Airbus A320,180,Completed,13152.07,4933.13,1593.4,1332.89
F000063,R002,2025-01-05 06:45:00,Airbus A320,180,Completed,12267.3,4876.62,2630.21,1353.45
F000064,R002,2025-01-05 19:15:00,Airbus A320,180,Completed,12848.63,4918.24,1543.54,836.13
F000065,R003,2025-01-05 11:45:00,Boeing 737,160,Completed,11129.15,3704.6,2860.39,1091.89
F000066,R003,2025-01-05 06:00:00,Airbus A320,180,Completed,9413.25,3677.86,1575.43,879.1
F000067,R004,2025-01-05 20:30:00,Airbus A320,180,Completed,10683.45,3647.37,2628.01,1331.92
F000068,R005,2025-01-05 08:45:00,Boeing 737,160,Delayed,3429.71,1134.79,2927.88,724.22
F000069,R005,2025-01-05 08:00:00,Boeing 737,160,Completed,3560.78,1152.28,1530.57,652.38
F000070,R006,2025-01-05 21:00:00,Boeing 737,160,Completed,3244.15,1159.04,2053.34,1105.89
F000071,R007,2025-01-05 11:30:00,Boeing 737,160,Completed,3580.98,1336.98,2363.7,1408.03
F000072,R008,2025-01-05 18:15:00,Boeing 737,160,Completed,3590.44,1324.38,1864.27,1197.19
F000073,R008,2025-01-05 15:00:00,Boeing 737,160,Completed,3417.76,1272.82,2055.86,1005.96
F000074,R009,2025-01-05 06:45:00,Airbus A320,180,Completed,947.36,391.23,2453.38,1328.71
F000075,R009,2025-01-05 10:45:00,Boeing 737,160,Completed,1076.59,391.41,1905.12,1308.2
F000076,R010,2025-01-05 20:45:00,Airbus A320,180,Completed,991.95,364.48,2901.93,778.93
F000077,R010,2025-01-05 20:15:00,Airbus A320,180,Completed,1042.87,380.29,2004.59,994.31
F000078,R001,2025-01-06 11:45:00,Boeing 737,160,Completed,13217.26,4830.38,1919.49,1096.16
F000079,R001,2025-01-06 14:00:00,Boeing 737,160,Completed,12484.33,5058.94,2232.87,1258.16
F000080,R002,2025-01-06 21:45:00,Boeing 737,160,Completed,12504.59,4812.19,2537.68,806.21
F000081,R002,2025-01-06 17:45:00,Airbus A320,180,Completed,13409.68,5071.74,1996.19,1202.85
F000082,R003,2025-01-06 15:30:00,Boeing 737,160,Completed,9382.7,3578.5,1679.33,1035.86
F000083,R003,2025-01-06 11:15:00,Boeing 737,160,Completed,10637.51,3609.48,2384.38,1260.21
F000084,R004,2025-01-06 09:15:00,Airbus A320,180,Completed,9599.63,3573.65,1521.22,1034.14
F000085,R004,2025-01-06 14:00:00,Boeing 737,160,Completed,10261.35,3764.89,1689.42,1368.46
F000086,R005,2025-01-06 09:00:00,Airbus A320,180,Completed,3247.0,1180.93,1776.55,551.38
F000087,R005,2025-01-06 21:00:00,Boeing 737,160,Completed,3202.12,1137.4,2444.17,553.61
F000088,R006,2025-01-06 15:00:00,Boeing 737,160,Completed,3017.7,1219.42,2409.48,1290.74
F000089,R007,2025-01-06 22:45:00,Airbus A320,180,Completed,3813.54,1256.02,2382.79,928.83
F000090,R008,2025-01-06 09:15:00,Boeing 737,160,Completed,3359.55,1228.31,1859.8,1051.99
F000091,R009,2025-01-06 06:45:00,Airbus A320,180,Completed,1067.45,372.87,1548.96,788.1
F000092,R010,2025-01-06 20:00:00,Boeing 737,160,Completed,1115.7,384.76,2437.59,1161.18
F000093,R010,2025-01-06 12:45:00,Boeing 737,160,Completed,1037.67,379.52,2862.62,1326.63
F000094,R001,2025-01-07 07:15:00,Airbus A320,180,Completed,13871.26,5110.5,2881.79,939.15
F000095,R002,2025-01-07 15:45:00,Airbus A320,180,Completed,13613.79,4946.93,1620.66,539.86
F000096,R002,2025-01-07 19:30:00,Airbus A320,180,Completed,12321.67,4815.82,2511.45,1360.52
F000097,R003,2025-01-07 14:00:00,Boeing 737,160,Completed,10093.1,3747.94,2874.11,681.49
F000098,R004,2025-01-07 21:00:00,Airbus A320,180,Completed,9844.27,3630.46,2505.2,1357.73
F000099,R004,2025-01-07 16:45:00,Airbus A320,180,Completed,9722.96,3856.37,2720.35,1050.1
F000100,R005,2025-01-07 08:30:00,Airbus A320,180,Completed,3151.53,1243.86,2106.26,1014.6
F000101,R005,2025-01-07 06:45:00,Airbus A320,180,Delayed,2975.72,1190.19,2433.95,998.49
F000102,R006,2025-01-07 07:15:00,Airbus A320,180,Completed,3299.16,1238.81,2157.17,1198.25
F000103,R006,2025-01-07 09:00:00,Boeing 737,160,Completed,3404.07,1165.52,1520.51,907.99
F000104,R007,2025-01-07 09:45:00,Boeing 737,160,Delayed,3629.65,1237.64,2898.98,791.86
F000105,R008,2025-01-07 19:45:00,Airbus A320,180,Completed,3344.8,1288.57,2075.38,1421.87
F000106,R008,2025-01-07 22:15:00,Boeing 737,160,Completed,3367.73,1319.18,2122.41,1434.25
F000107,R009,2025-01-07 06:30:00,Airbus A320,180,Cancelled,1097.92,376.99,2489.91,1365.26
F000108,R009,2025-01-07 20:45:00,Airbus A320,180,Completed,994.03,383.83,2065.82,1432.85
F000109,R010,2025-01-07 13:45:00,Boeing 737,160,Completed,1101.73,370.66,1977.26,972.98
F000110,R001,2025-01-08 18:15:00,Airbus A320,180,Completed,14877.98,4764.99,2948.03,831.99
F000111,R001,2025-01-08 09:45:00,Boeing 737,160,Completed,13683.15,4928.68,2583.67,909.98
F000112,R002,2025-01-08 08:45:00,Airbus A320,180,Completed,13172.98,5045.39,2474.75,1351.77
F000113,R003,2025-01-08 16:45:00,Boeing 737,160,Completed,10391.51,3594.08,2526.6,787.38
F000114,R003,2025-01-08 13:00:00,Airbus A320,180,Completed,11124.31,3788.13,2555.84,600.51
F000115,R004,2025-01-08 15:00:00,Boeing 737,160,Completed,9796.38,3528.12,2037.7,930.69
F000116,R005,2025-01-08 22:45:00,Boeing 737,160,Completed,3051.37,1137.98,2806.26,1119.71
F000117,R006,2025-01-08 21:15:00,Boeing 737,160,Completed,3241.62,1158.77,1882.99,509.4
F000118,R007,2025-01-08 15:15:00,Boeing 737,160,Completed,3484.41,1262.2,2381.36,1138.94
F000119,R007,2025-01-08 19:30:00,Airbus A320,180,Completed,3768.97,1243.44,2077.04,983.21
F000120,R008,2025-01-08 18:30:00,Airbus A320,180,Delayed,3872.9,1255.75,2966.92,1158.23
F000121,R009,2025-01-08 06:00:00,Airbus A320,180,Completed,1096.96,389.07,2663.61,730.12
F000122,R009,2025-01-08 17:15:00,Boeing 737,160,Completed,1053.37,380.65,2581.39,1159.18
F000123,R010,2025-01-08 09:00:00,Airbus A320,180,Completed,1087.87,356.55,2047.29,631.41
F000124,R001,2025-01-09 16:45:00,Boeing 737,160,Completed,12797.91,5091.82,2814.69,865.86
F000125,R001,2025-01-09 22:30:00,Boeing 737,160,Completed,12950.85,5110.72,2222.77,1306.49
F000126,R002,2025-01-09 09:45:00,Boeing 737,160,Completed,12634.46,5180.92,2790.21,1224.22
F000127,R002,2025-01-09 18:30:00,Boeing 737,160,Completed,14403.88,4709.39,2304.86,954.79
F000128,R003,2025-01-09 18:30:00,Boeing 737,160,Completed,10508.02,3681.47,2429.32,1443.17
F000129,R003,2025-01-09 16:15:00,Boeing 737,160,Completed,10427.95,3678.81,2551.62,1149.24
F000130,R004,2025-01-09 10:00:00,Boeing 737,160,Completed,9755.74,3689.28,1645.79,1387.26
F000131,R005,2025-01-09 18:45:00,Airbus A320,180,Completed,3378.4,1216.89,2918.96,919.13
F000132,R006,2025-01-09 19:00:00,Airbus A320,180,Completed,3342.57,1240.16,1919.61,1190.28
F000133,R007,2025-01-09 20:45:00,Boeing 737,160,Completed,3776.13,1230.64,2528.52,1044.47
F000134,R008,2025-01-09 07:45:00,Airbus A320,180,Completed,3306.78,1233.56,2772.05,954.72
F000135,R008,2025-01-09 12:00:00,Boeing 737,160,Completed,3727.72,1249.13,1688.89,1064.58
F000136,R009,2025-01-09 12:15:00,Boeing 737,160,Completed,993.23,360.82,2850.8,502.84
F000137,R010,2025-01-09 10:30:00,Boeing 737,160,Delayed,948.26,387.71,1697.7,858.24
F000138,R001,2025-01-10 16:00:00,Boeing 737,160,Completed,12973.71,4765.25,2131.44,613.65
F000139,R002,2025-01-10 21:45:00,Airbus A320,180,Completed,13648.54,4756.48,2255.76,1445.42
F000140,R003,2025-01-10 22:30:00,Airbus A320,180,Completed,10444.07,3518.9,2997.88,1347.3
F000141,R004,2025-01-10 09:45:00,Airbus A320,180,Completed,9286.93,3537.23,2412.45,565.68
F000142,R004,2025-01-10 14:30:00,Airbus A320,180,Completed,11157.39,3703.28,2180.57,1105.43
F000143,R005,2025-01-10 09:15:00,Airbus A320,180,Cancelled,3235.35,1155.75,2008.4,953.5
F000144,R006,2025-01-10 09:30:00,Airbus A320,180,Completed,3144.5,1158.88,2930.39,1186.82
F000145,R006,2025-01-10 21:00:00,Boeing 737,160,Delayed,3483.78,1139.68,1644.85,1238.8
F000146,R007,2025-01-10 07:30:00,Boeing 737,160,Completed,3462.61,1329.9,2911.69,922.94
F000147,R008,2025-01-10 15:30:00,Airbus A320,180,Completed,3246.0,1282.95,1732.1,982.19
F000148,R009,2025-01-10 17:30:00,Boeing 737,160,Completed,1082.52,376.77,2710.83,1345.16
F000149,R010,2025-01-10 14:00:00,Boeing 737,160,Completed,981.86,383.81,2882.31,851.02
F000150,R001,2025-01-11 10:45:00,Boeing 737,160,Completed,12637.5,5015.92,1545.99,1246.11
F000151,R002,2025-01-11 18:45:00,Airbus A320,180,Completed,13179.34,4885.68,2582.39,1276.84
F000152,R003,2025-01-11 07:15:00,Boeing 737,160,Completed,10669.66,3525.77,1622.37,943.11
F000153,R004,2025-01-11 21:45:00,Airbus A320,180,Completed,9692.39,3786.13,1670.73,929.91
F000154,R004,2025-01-11 15:45:00,Airbus A320,180,Completed,9229.92,3653.33,2398.99,507.69
F000155,R005,2025-01-11 12:15:00,Airbus A320,180,Completed,3129.42,1142.85,2246.08,930.66
F000156,R005,2025-01-11 10:45:00,Boeing 737,160,Completed,3267.17,1227.6,2709.3,572.08
F000157,R006,2025-01-11 19:00:00,Airbus A320,180,Completed,3542.19,1231.02,2363.64,1073.4
F000158,R007,2025-01-11 15:00:00,Airbus A320,180,Completed,3187.66,1259.54,2701.98,1118.13
F000159,R007,2025-01-11 17:00:00,Airbus A320,180,Completed,3768.4,1249.09,2383.31,1023.96
F000160,R008,2025-01-11 15:30:00,Boeing 737,160,Completed,3407.8,1239.45,2265.72,614.03
F000161,R008,2025-01-11 22:15:00,Airbus A320,180,Completed,3420.51,1340.74,2468.16,647.69
F000162,R009,2025-01-11 10:30:00,Boeing 737,160,Completed,961.34,361.02,2638.73,575.35
F000163,R010,2025-01-11 20:45:00,Airbus A320,180,Completed,1103.43,378.76,1726.44,568.29
F000164,R010,2025-01-11 20:30:00,Airbus A320,180,Completed,1047.31,368.46,1611.29,961.74
F000165,R001,2025-01-12 07:30:00,Airbus A320,180,Completed,12460.15,5130.3,2782.94,1115.01
F000166,R002,2025-01-12 20:00:00,Airbus A320,180,Completed,14726.14,4985.47,1782.36,1105.01
F000167,R002,2025-01-12 22:15:00,Boeing 737,160,Completed,13477.8,5103.93,2756.07,1482.39
F000168,R003,2025-01-12 22:15:00,Boeing 737,160,Completed,9640.77,3669.02,2159.13,1022.75
F000169,R004,2025-01-12 17:30:00,Airbus A320,180,Completed,9924.39,3793.33,2518.35,552.37
F000170,R005,2025-01-12 08:30:00,Boeing 737,160,Completed,3304.87,1174.52,1877.99,1351.57
F000171,R005,2025-01-12 10:30:00,Boeing 737,160,Delayed,3321.06,1145.4,2024.73,1467.7
F000172,R006,2025-01-12 10:00:00,Airbus A320,180,Completed,3305.5,1205.05,1992.71,627.79
F000173,R006,2025-01-12 22:00:00,Airbus A320,180,Delayed,3272.55,1130.77,1963.3,1451.17
F000174,R007,2025-01-12 21:15:00,Boeing 737,160,Completed,3878.03,1237.76,1943.69,1288.12
F000175,R007,2025-01-12 22:00:00,Airbus A320,180,Completed,3790.89,1297.13,2395.87,654.25
F000176,R008,2025-01-12 11:45:00,Boeing 737,160,Completed,3462.65,1304.61,1856.3,944.2
F000177,R009,2025-01-12 20:15:00,Boeing 737,160,Completed,989.31,385.54,2203.52,1335.11
F000178,R009,2025-01-12 17:45:00,Airbus A320,180,Completed,1083.92,384.4,2254.36,918.66
F000179,R010,2025-01-12 12:15:00,Airbus A320,180,Completed,936.38,373.27,2056.82,1434.29
F000180,R001,2025-01-13 15:00:00,Boeing 737,160,Completed,12993.92,5150.63,1721.02,937.47
F000181,R002,2025-01-13 20:30:00,Boeing 737,160,Completed,13380.81,4898.74,2060.94,886.17
F000182,R003,2025-01-13 17:15:00,Boeing 737,160,Completed,9784.82,3543.98,2572.06,835.29
F000183,R004,2025-01-13 10:00:00,Airbus A320,180,Completed,11000.56,3681.83,2746.67,1258.84
F000184,R005,2025-01-13 20:00:00,Boeing 737,160,Completed,2952.72,1154.22,1724.28,1440.23
F000185,R005,2025-01-13 22:45:00,Boeing 737,160,Completed,3447.45,1156.83,1682.77,738.44
F000186,R006,2025-01-13 08:00:00,Airbus A320,180,Completed,3330.21,1130.55,2273.06,741.94
F000187,R006,2025-01-13 10:30:00,Airbus A320,180,Completed,2941.32,1170.51,2356.0,687.31
F000188,R007,2025-01-13 22:30:00,Boeing 737,160,Completed,3845.19,1287.65,2679.62,1007.62
F000189,R008,2025-01-13 18:45:00,Boeing 737,160,Completed,3621.16,1343.67,1880.48,516.24
F000190,R009,2025-01-13 17:15:00,Boeing 737,160,Completed,1084.35,382.8,1998.78,544.34
F000191,R010,2025-01-13 11:45:00,Airbus A320,180,Completed,1055.6,385.65,1594.65,1276.19
F000192,R010,2025-01-13 20:00:00,Airbus A320,180,Completed,967.12,384.89,2828.69,815.6
F000193,R001,2025-01-14 22:45:00,Airbus A320,180,Completed,12940.9,5075.38,1786.66,856.97
F000194,R001,2025-01-14 07:30:00,Airbus A320,180,Completed,12590.13,4884.67,2834.23,1243.31
F000195,R002,2025-01-14 16:15:00,Airbus A320,180,Completed,14135.41,4884.34,2695.94,766.72
F000196,R002,2025-01-14 08:45:00,Boeing 737,160,Completed,13423.58,5195.07,1770.68,793.77
F000197,R003,2025-01-14 08:30:00,Airbus A320,180,Completed,9760.07,3729.89,2139.17,1189.76
F000198,R004,2025-01-14 20:00:00,Airbus A320,180,Completed,10386.22,3667.98,2459.2,1291.48
F000199,R004,2025-01-14 07:00:00,Airbus A320,180,Completed,9875.44,3803.16,2519.12,1452.79
F000200,R005,2025-01-14 20:00:00,Boeing 737,160,Completed,2984.23,1221.09,2049.49,882.85
F000201,R006,2025-01-14 10:45:00,Airbus A320,180,Delayed,3183.37,1219.25,2360.88,1029.46
F000202,R007,2025-01-14 16:30:00,Boeing 737,160,Completed,3850.21,1221.22,1779.07,1017.75
F000203,R007,2025-01-14 09:30:00,Airbus A320,180,Completed,3669.37,1245.41,2417.82,1193.98
F000204,R008,2025-01-14 12:00:00,Boeing 737,160,Completed,3774.28,1275.85,2848.02,945.11
F000205,R008,2025-01-14 08:30:00,Airbus A320,180,Completed,3673.25,1288.41,1935.54,799.96
F000206,R009,2025-01-14 11:30:00,Boeing 737,160,Completed,950.61,362.82,1708.32,1290.37
F000207,R010,2025-01-14 17:30:00,Airbus A320,180,Delayed,1090.96,375.93,2417.92,586.22
F000208,R001,2025-01-15 18:45:00,Airbus A320,180,Completed,14345.3,5110.05,1610.63,1472.38
F000209,R001,2025-01-15 08:45:00,Airbus A320,180,Completed,14102.85,4873.03,2816.94,1280.26
F000210,R002,2025-01-15 10:45:00,Boeing 737,160,Completed,14514.71,4958.96,1956.19,661.97
F000211,R003,2025-01-15 17:30:00,Boeing 737,160,Completed,9646.58,3741.86,2326.26,625.17
F000212,R004,2025-01-15 08:15:00,Boeing 737,160,Completed,9485.34,3737.96,2853.0,837.62
F000213,R004,2025-01-15 07:00:00,Boeing 737,160,Completed,9230.01,3744.22,2365.16,1151.13
F000214,R005,2025-01-15 06:45:00,Airbus A320,180,Completed,3359.72,1164.49,1867.32,1307.35
F000215,R005,2025-01-15 18:30:00,Airbus A320,180,Completed,2987.98,1135.72,2159.41,984.25
F000216,R006,2025-01-15 16:15:00,Airbus A320,180,Completed,3503.19,1166.53,2982.04,845.37
F000217,R007,2025-01-15 10:30:00,Boeing 737,160,Completed,3397.96,1277.7,1901.21,747.92
F000218,R007,2025-01-15 09:00:00,Airbus A320,180,Completed,3839.54,1328.69,2127.2,1462.69
F000219,R008,2025-01-15 16:30:00,Boeing 737,160,Completed,3711.03,1281.78,2272.09,998.76
F000220,R009,2025-01-15 21:00:00,Boeing 737,160,Completed,1120.08,374.2,2950.03,715.14
F000221,R009,2025-01-15 17:00:00,Boeing 737,160,Completed,983.52,377.65,2764.27,1172.52
F000222,R010,2025-01-15 06:00:00,Airbus A320,180,Completed,953.2,365.19,2048.67,903.25
F000223,R010,2025-01-15 07:45:00,Boeing 737,160,Completed,1042.96,362.58,2329.83,573.53
F000224,R001,2025-01-16 14:00:00,Boeing 737,160,Completed,14905.91,4897.48,2692.35,839.09
F000225,R001,2025-01-16 17:15:00,Boeing 737,160,Completed,13891.46,4901.19,1560.38,538.91
F000226,R002,2025-01-16 21:45:00,Boeing 737,160,Completed,13901.79,4957.68,1991.95,1113.07
F000227,R002,2025-01-16 11:45:00,Airbus A320,180,Completed,13867.67,4953.62,2264.57,989.85
F000228,R003,2025-01-16 21:00:00,Airbus A320,180,Completed,9810.32,3547.87,2124.81,807.68
F000229,R003,2025-01-16 06:45:00,Airbus A320,180,Completed,11101.43,3796.45,2664.24,1077.63
F000230,R004,2025-01-16 21:15:00,Airbus A320,180,Completed,9437.77,3758.72,1547.36,1448.21
F000231,R005,2025-01-16 12:00:00,Airbus A320,180,Completed,3145.27,1146.59,2535.75,910.38
F000232,R006,2025-01-16 07:15:00,Boeing 737,160,Completed,3306.78,1247.18,2217.56,876.82
F000233,R006,2025-01-16 11:45:00,Airbus A320,180,Completed,3297.23,1208.89,2801.48,1180.75
F000234,R007,2025-01-16 21:15:00,Boeing 737,160,Completed,3369.68,1256.17,2912.23,1482.26
F000235,R007,2025-01-16 15:15:00,Airbus A320,180,Delayed,3396.5,1262.62,2900.55,1295.41
F000236,R008,2025-01-16 15:00:00,Airbus A320,180,Completed,3804.55,1268.48,2017.7,1273.06
F000237,R008,2025-01-16 10:30:00,Boeing 737,160,Completed,3375.76,1309.45,2019.55,942.38
F000238,R009,2025-01-16 21:15:00,Boeing 737,160,Completed,1095.96,365.44,2343.03,771.62
F000239,R009,2025-01-16 09:15:00,Boeing 737,160,Completed,936.09,389.15,1838.51,732.84
F000240,R010,2025-01-16 19:30:00,Airbus A320,180,Completed,946.33,384.13,1507.77,1050.35
F000241,R001,2025-01-17 19:45:00,Airbus A320,180,Completed,14022.34,5076.68,1930.87,785.42
F000242,R002,2025-01-17 08:15:00,Boeing 737,160,Completed,14737.52,4789.16,2823.37,675.79
F000243,R003,2025-01-17 18:45:00,Boeing 737,160,Completed,11039.58,3862.62,2889.06,1376.74
F000244,R004,2025-01-17 15:00:00,Airbus A320,180,Completed,9715.53,3872.58,2314.95,993.91
F000245,R005,2025-01-17 22:45:00,Airbus A320,180,Completed,3066.28,1141.98,1743.74,958.91
F000246,R006,2025-01-17 11:00:00,Airbus A320,180,Completed,3456.99,1196.05,2635.92,675.49
F000247,R006,2025-01-17 18:45:00,Airbus A320,180,Completed,2996.97,1208.11,1777.17,640.61
F000248,R007,2025-01-17 13:00:00,Airbus A320,180,Completed,3443.41,1275.17,1900.49,829.63
F000249,R007,2025-01-17 06:30:00,Airbus A320,180,Completed,3661.42,1225.86,1677.34,806.81
F000250,R008,2025-01-17 22:30:00,Boeing 737,160,Completed,3623.31,1338.49,2051.32,720.85
F000251,R008,2025-01-17 10:45:00,Boeing 737,160,Completed,3493.76,1344.67,2060.44,1201.94
F000252,R009,2025-01-17 12:15:00,Boeing 737,160,Completed,1033.75,375.05,2042.68,1417.24
F000253,R009,2025-01-17 09:00:00,Boeing 737,160,Completed,1043.45,360.9,1992.18,1020.34
F000254,R010,2025-01-17 12:45:00,Boeing 737,160,Completed,1110.55,371.96,1583.45,631.94
F000255,R001,2025-01-18 20:00:00,Airbus A320,180,Completed,14082.86,4855.04,1532.66,754.46
F000256,R001,2025-01-18 06:15:00,Boeing 737,160,Completed,12374.55,4873.04,1595.64,1494.12
F000257,R002,2025-01-18 21:00:00,Airbus A320,180,Completed,13364.39,5083.14,2648.74,1478.33
F000258,R003,2025-01-18 17:45:00,Airbus A320,180,Completed,10903.55,3842.18,2063.47,1182.73
F000259,R003,2025-01-18 10:30:00,Boeing 737,160,Completed,9500.11,3705.76,2293.26,1227.86
F000260,R004,2025-01-18 06:00:00,Airbus A320,180,Completed,10077.88,3772.89,2136.19,879.28
F000261,R005,2025-01-18 13:45:00,Airbus A320,180,Completed,3041.66,1150.99,2812.81,1265.49
F000262,R006,2025-01-18 19:00:00,Boeing 737,160,Completed,3074.95,1140.59,1550.36,1097.78
F000263,R007,2025-01-18 13:00:00,Airbus A320,180,Completed,3482.46,1287.1,2631.58,1276.06
F000264,R008,2025-01-18 22:30:00,Boeing 737,160,Completed,3748.16,1311.68,1978.36,1097.92
F000265,R009,2025-01-18 13:30:00,Boeing 737,160,Completed,1128.41,374.79,2120.34,775.15
