CustomerID,Age,Gender,LoyaltyTier,PassengerType
C00115,37,F,Silver,Leisure
C00116,44,M,Gold,Leisure
C00117,39,M,None,Business
C00118,22,M,None,Leisure
C00119,57,F,Silver,Leisure
C00120,51,F,None,Leisure
C00121,51,F,Silver,Business
C00122,26,F,Gold,Leisure
C00123,61,F,None,Business
C00124,18,M,None,Business
C00125,48,M,None,Leisure
C00126,72,M,Platinum,Leisure
C00127,25,Other,None,Business
C00128,31,F,None,Leisure
C00129,41,F,None,Leisure
C00130,32,M,None,Business
C00131,18,F,None,Leisure
C00132,41,M,None,Business
C00133,24,F,Gold,Business
C00134,47,M,Gold,Leisure
C00135,26,M,None,Leisure
C00136,63,M,None,Business
C00137,28,F,None,Business
C00138,35,F,None,Business
C00139,52,M,None,Leisure
C00140,21,F,None,Leisure
C00141,43,F,None,Leisure
C00142,59,F,None,Business
C00143,18,F,None,Leisure
C00144,42,M,None,Leisure
C00145,43,F,None,Business
C00146,51,M,None,Business
C00147,21,M,Silver,Leisure
C00148,20,F,None,Leisure
C00149,47,M,None,Leisure
C00150,44,F,Silver,Leisure
C00151,43,M,None,Business
C00152,45,M,None,Business
C00153,29,F,None,Leisure
C00154,43,F,Gold,Leisure
C00155,44,F,None,Leisure
C00156,29,M,Gold,Leisure
C00157,67,F,Silver,Leisure
C00158,47,M,Gold,Leisure
C00159,22,M,Silver,Business
C00160,49,F,None,Leisure
C00161,25,F,Silver,Leisure
C00162,51,M,None,Leisure
C00163,57,M,None,Leisure
C00164,27,F,Silver,Leisure
C00165,54,F,None,Business
C00166,46,M,None,Leisure
C00167,52,F,Platinum,Business
C00168,68,M,Gold,Leisure
C00169,36,M,None,Leisure
C00170,28,M,Platinum,Leisure
C00171,26,M,None,Leisure
C00172,27,M,None,Business
C00173,38,M,None,Leisure
C00174,45,M,Silver,Business
C00175,44,F,Gold,Leisure
C00176,52,F,Silver,Leisure
C00177,40,M,Silver,Leisure
C00178,61,M,Platinum,Leisure
C00179,36,M,None,Leisure
C00180,80,F,None,Business
C00181,49,F,Silver,Leisure
C00182,27,F,Silver,Leisure
C00183,23,M,Gold,Leisure
C00184,47,M,None,Leisure
C00185,36,M,None,Leisure
C00186,50,M,None,Leisure
C00187,47,F,Gold,Leisure
C00188,38,F,Platinum,Leisure
C00189,27,F,None,Leisure
C00190,18,F,Silver,Leisure
C00191,33,M,None,Leisure
C00192,52,F,Silver,Business
C00193,43,F,None,Leisure
C00194,21,M,Platinum,Business
C00195,42,F,None,Business
C00196,45,F,Silver,Leisure
C00197,26,M,None,Leisure
C00198,42,M,Gold,Leisure
C00199,40,M,Silver,Leisure
C00200,22,M,None,Leisure
C00201,45,M,None,Leisure
C00202,48,F,Silver,Business
C00203,56,F,None,Leisure
C00204,55,M,Silver,Leisure
C00205,19,M,Silver,Leisure
C00206,25,F,None,Leisure
C00207,47,M,Gold,Business
C00208,47,M,None,Leisure
C00209,47,F,Gold,Leisure
C00210,90,M,None,Leisure
C00211,48,F,Gold,Business
C00212,57,M,Silver,Leisure
C00213,54,F,Silver,Leisure
C00214,49,F,None,Business
C00215,35,Other,None,Leisure
C00216,51,F,Gold,Business
C00217,28,M,Platinum,Leisure
C00218,36,M,None,Leisure
C00219,32,M,None,Leisure
C00220,41,F,None,Business
C00221,74,F,None,Business
C00222,18,F,None,Leisure
C00223,50,M,None,Business
C00224,18,M,Silver,Leisure
C00225,32,M,None,Leisure
C00226,56,F,Gold,Leisure
C00227,40,M,None,Business
C00228,23,M,Gold,Business
C00229,29,F,None,Business
C00230,50,M,Gold,Business
C00231,29,M,Gold,Leisure
C00232,43,M,None,Business
C00233,40,F,Gold,Business
C00234,30,F,None,Leisure
C00235,72,M,None,Business
C00236,49,M,None,Leisure
C00237,18,F,Silver,Leisure
C00238,42,F,None,Leisure
C00239,30,M,None,Leisure
C00240,52,F,None,Leisure
C00241,28,F,Gold,Leisure
C00242,38,F,Silver,Leisure
C00243,47,F,None,Leisure
C00244,52,M,Gold,Leisure
C00245,21,F,Silver,Leisure
C00246,34,M,Silver,Business
C00247,32,F,None,Leisure
C00248,30,F,Silver,Leisure
C00249,66,F,Silver,Business
C00250,46,M,Silver,Leisure
C00251,21,F,None,Leisure
C00252,53,F,None,Leisure
C00253,71,M,None,Leisure
C00254,55,M,None,Business
C00255,18,M,Gold,Business
C00256,32,F,Silver,Business
C00257,59,M,Gold,Business
C00258,29,M,None,Leisure
C00259,46,M,None,Leisure
C00260,51,F,Gold,Leisure
C00261,26,F,None,Business
C00262,39,M,Silver,Business
C00263,18,F,Silver,Leisure
C00264,24,F,None,Leisure
C00265,36,M,None,Leisure
C00266,21,M,None,Business
C00267,64,F,None,Business
C00268,18,F,None,Business
C00269,33,M,None,Leisure
C00270,41,F,None,Leisure
C00271,61,M,Platinum,Business
C00272,18,F,None,Leisure
C00273,57,F,Gold,Leisure
C00274,40,F,Gold,Leisure
C00275,25,M,None,Leisure
C00276,46,F,Gold,Leisure
C00277,42,F,None,Leisure
C00278,30,F,None,Leisure
C00279,41,M,None,Leisure
C00280,34,M,None,Business
C00281,41,Other,None,Business
C00282,49,F,Gold,Business
C00283,63,M,None,Business
C00284,21,M,None,Leisure
C00285,71,M,None,Leisure
C00286,18,M,Silver,Leisure
C00287,37,M,None,Business
C00288,48,M,None,Leisure
C00289,44,F,None,Leisure
C00290,30,M,None,Leisure
C00291,36,Other,Gold,Leisure
C00292,32,F,None,Leisure
C00293,31,M,Gold,Leisure
C00294,52,F,None,Leisure
C00295,45,F,None,Leisure
C00296,29,M,None,Leisure
C00297,53,F,Gold,Leisure
C00298,44,M,None,Leisure
C00299,52,F,None,Leisure
C00300,49,F,None,Leisure
C00301,27,M,Silver,Leisure
C00302,31,M,None,Leisure
C00303,51,F,Silver,Leisure
C00304,49,M,None,Leisure
C00305,39,M,None,Leisure
C00306,41,F,None,Leisure
C00307,59,F,None,Leisure
C00308,31,M,None,Business
C00309,48,F,None,Leisure
C00310,36,M,Gold,Leisure
C00311,36,F,None,Business
C00312,56,F,Gold,Leisure
C00313,52,F,Silver,Leisure
C00314,52,F,Silver,Business
C00315,59,M,Silver,Leisure
C00316,40,F,Silver,Leisure
C00317,50,F,None,Leisure
C00318,35,F,Gold,Leisure
C00319,44,M,None,Leisure
C00320,38,F,None,Business
C00321,41,F,Gold,Business
C00322,48,F,Silver,Leisure
C00323,27,F,None,Business
C00324,71,F,Gold,Leisure
C00325,24,M,None,Leisure
C00326,21,M,None,Leisure
C00327,57,F,None,Leisure
C00328,51,M,Platinum,Business
C00329,49,F,None,Leisure
C00330,49,M,None,Leisure
C00331,39,M,None,Leisure
C00332,26,Other,None,Business
C00333,41,M,None,Leisure
C00334,29,M,None,Business
C00335,54,M,Gold,Business
C00336,37,F,None,Leisure
C00337,27,M,Silver,Leisure
C00338,35,M,None,Leisure
C00339,46,F,None,Leisure
C00340,31,M,None,Leisure
C00341,27,F,None,Business
C00342,43,M,None,Leisure
C00343,43,M,None,Business
C00344,32,F,None,Leisure
C00345,32,M,None,Leisure
C00346,43,M,None,Leisure
C00347,18,F,Silver,Business
C00348,18,F,Silver,Leisure
C00349,29,F,Gold,Leisure
C00350,36,M,None,Leisure
C00351,44,F,Gold,Leisure
C00352,62,M,Silver,Business
C00353,52,F,Silver,Leisure
C00354,37,F,Platinum,Leisure
C00355,39,F,None,Business
C00356,24,M,Gold,Business
C00357,39,M,None,Leisure
C00358,35,F,None,Leisure
C00359,44,F,Silver,Business
C00360,27,M,None,Leisure
C00361,47,F,None,Leisure
C00362,62,M,None,Leisure
C00363,38,M,None,Leisure
C00364,46,F,None,Business
C00365,50,F,Silver,Business
C00366,33,M,None,Business
C00367,43,M,None,Leisure
C00368,40,M,None,Leisure
C00369,41,F,None,Business
C00370,28,M,None,Leisure
C00371,40,M,None,Leisure
C00372,47,M,None,Leisure
C00373,61,M,None,Leisure
C00374,54,F,None,Leisure
C00375,72,M,None,Business
C00376,28,M,Gold,Leisure
C00377,53,F,None,Business
C00378,42,F,None,Leisure
C00379,72,M,None,Leisure
C00380,27,F,Silver,Business
C00381,27,F,None,Leisure
C00382,31,M,Gold,Leisure
C00383,18,F,None,Leisure
C00384,32,M,Gold,Business
C00385,28,Other,Gold,Leisure
C00386,42,F,None,Leisure
C00387,45,F,None,Business
C00388,68,F,None,Leisure
C00389,54,F,Gold,Leisure
C00390,31,M,None,Leisure
C00391,26,F,Silver,Leisure
C00392,47,F,None,Business
C00393,20,M,Gold,Leisure
C00394,67,M,Gold,Business
C00395,57,F,None,Leisure
C00396,32,M,Silver,Leisure
C00397,18,F,None,Business
C00398,60,M,Silver,Leisure
C00399,38,F,Silver,Leisure
C00400,58,M,None,Leisure
C00401,18,M,None,Leisure
C00402,31,M,Silver,Leisure
C00403,40,F,None,Leisure
C00404,40,M,Silver,Business
C00405,33,M,Gold,Business
C00406,49,M,None,Business
C00407,23,F,None,Leisure
C00408,37,F,None,Leisure
C00409,41,M,None,Business
C00410,47,F,Platinum,Leisure
C00411,50,F,Silver,Business
C00412,23,F,None,Leisure
C00413,18,F,Gold,Leisure
C00414,59,M,None,Business
C00415,44,F,Gold,Leisure
C00416,28,M,None,Leisure
C00417,63,M,None,Business
C00418,41,F,None,Leisure
C00419,57,M,None,Business
C00420,41,M,Silver,Leisure
C00421,70,M,Silver,Leisure
C00422,66,F,None,Business
C00423,36,M,Gold,Leisure
C00424,54,M,None,Business
C00425,49,F,Silver,Leisure
C00426,60,M,None,Leisure
C00427,25,F,Gold,Leisure
C00428,50,M,Gold,Leisure
C00429,55,F,None,Business
C00430,18,M,Silver,Business
C00431,22,M,None,Leisure
C00432,18,F,Silver,Leisure
C00433,35,F,None,Business
C00434,50,F,Gold,Leisure
C00435,62,F,Silver,Leisure
C00436,41,M,Platinum,Business
C00437,64,F,Silver,Leisure
C00438,19,M,None,Leisure
C00439,18,M,None,Leisure
C00440,39,F,None,Business
C00441,45,M,Gold,Leisure
C00442,39,F,None,Business
C00443,18,M,None,Leisure
C00444,38,F,Silver,Leisure
C00445,20,M,Silver,Leisure
C00446,50,F,Silver,Business
C00447,45,M,None,Leisure
C00448,25,M,Silver,Leisure
C00449,32,M,Platinum,Leisure
C00450,24,M,None,Leisure
C00451,39,M,None,Business
C00452,54,M,None,Business
C00453,25,M,None,Leisure
C00454,47,M,None,Business
C00455,32,F,Silver,Leisure
C00456,28,M,None,Leisure
C00457,38,F,None,Leisure
C00458,24,F,None,Business
C00459,31,F,None,Business
C00460,22,M,None,Leisure
C00461,69,M,None,Leisure
C00462,40,F,None,Leisure
C00463,29,M,None,Business
C00464,43,M,Silver,Leisure
C00465,38,F,Silver,Leisure
C00466,36,M,None,Leisure
C00467,49,F,None,Leisure
C00468,51,F,Gold,Business
C00469,32,M,Silver,Leisure
C00470,31,F,None,Business
C00471,35,F,None,Leisure
C00472,18,F,None,Business
C00473,18,F,Gold,Business
C00474,60,M,Gold,Leisure
C00475,64,F,None,Business
C00476,36,F,None,Leisure
C00477,48,M,None,Leisure
C00478,44,F,None,Leisure
C00479,86,M,Gold,Leisure
C00480,56,F,None,Business
C00481,38,M,None,Business
C00482,25,M,None,Leisure
C00483,18,F,Silver,Leisure
C00484,43,M,None,Leisure
C00485,28,M,None,Business
C00486,18,F,Platinum,Business
C00487,30,M,None,Business
C00488,23,F,None,Leisure
C00489,65,F,None,Leisure
C00490,53,M,None,Leisure
C00491,39,F,Silver,Leisure
C00492,62,F,None,Leisure
C00493,41,M,None,Leisure
C00494,27,M,None,Leisure
C00495,62,M,Gold,Leisure
C00496,48,F,None,Business
C00497,24,M,None,Leisure
C00498,37,M,Silver,Business
C00499,26,M,None,Leisure
C00500,19,F,Gold,Business
C00501,53,F,None,Leisure
C00502,68,F,Gold,Leisure
C00503,19,F,Platinum,Leisure
C00504,48,F,None,Business
C00505,30,F,None,Leisure
C00506,32,M,Silver,Leisure
C00507,31,F,None,Leisure
C00508,27,M,None,Leisure
C00509,40,M,None,Leisure
C00510,27,M,None,Leisure
C00511,44,F,None,Leisure
C00512,39,M,None,Business
C00513,36,F,None,Leisure
C00514,26,F,None,Leisure
C00515,31,M,None,Leisure
C00516,51,M,None,Leisure
C00517,47,M,Gold,Business
C00518,25,M,None,Leisure
C00519,41,F,None,Leisure
C00520,51,F,None,Leisure
C00521,18,F,None,Leisure
C00522,48,M,None,Business
C00523,30,F,None,Leisure
C00524,48,F,Platinum,Leisure
C00525,28,F,Silver,Business
C00526,18,M,None,Business
C00527,18,M,None,Leisure
C00528,40,M,None,Leisure
C00529,43,M,None,Business
C00530,26,M,Gold,Leisure
C00531,49,F,Silver,Leisure
C00532,18,M,None,Leisure
C00533,39,F,None,Leisure
C00534,21,F,Silver,Leisure
C00535,30,F,None,Leisure
C00536,40,M,None,Leisure
C00537,27,F,Silver,Leisure
C00538,34,M,None,Business
C00539,55,F,None,Leisure
C00540,31,M,None,Leisure
C00541,52,M,Silver,Leisure
C00542,23,M,Gold,Leisure
C00543,47,M,None,Leisure
C00544,61,F,None,Business
C00545,18,M,Platinum,Business
C00546,28,M,Silver,Business
C00547,48,M,None,Leisure
C00548,36,F,Gold,Business
C00549,45,M,None,Leisure
C00550,30,F,None,Leisure
C00551,41,F,None,Leisure
C00552,37,F,None,Business
C00553,57,M,Silver,Leisure
C00554,43,M,None,Leisure
C00555,45,F,None,Business
C00556,33,M,Gold,Business
C00557,32,F,Silver,Business
C00558,33,F,Gold,Leisure
C00559,45,M,None,Business
C00560,33,F,None,Leisure
C00561,44,M,None,Leisure
C00562,71,M,None,Leisure
C00563,53,M,None,Leisure
C00564,35,M,None,Business
C00565,58,F,None,Leisure
C00566,33,M,None,Business
C00567,18,F,Gold,Business
C00568,24,M,None,Leisure
C00569,18,Other,None,Leisure
C00570,34,F,None,Business
C00571,40,F,None,Leisure
C00572,65,F,None,Business
C00573,44,M,None,Leisure
C00574,36,M,Gold,Leisure
C00575,52,M,None,Leisure
C00576,18,M,Silver,Leisure
C00577,43,F,None,Business
C00578,51,M,None,Leisure
C00579,18,F,None,Business
C00580,57,F,None,Leisure
C00581,45,M,None,Business
C00582,33,F,Silver,Business
C00583,49,M,None,Business
C00584,74,M,None,Leisure
C00585,42,M,None,Business
C00586,43,M,Silver,Business
C00587,33,M,Silver,Business
C00588,27,F,Silver,Leisure
C00589,52,F,None,Leisure
C00590,27,F,None,Leisure
C00591,41,M,Silver,Business
C00592,32,F,Platinum,Business
C00593,47,F,Gold,Business
C00594,45,M,None,Business
C00595,55,F,None,Leisure
C00596,32,Other,Platinum,Leisure
C00597,35,F,None,Leisure
C00598,25,M,None,Business
C00599,33,F,None,Leisure
C00600,45,M,None,Leisure
C00601,51,Other,None,Leisure
C00602,26,M,None,Business
C00603,53,F,None,Business
C00604,60,M,Gold,Leisure
C00605,46,M,Gold,Business
C00606,68,F,Silver,Leisure
C00607,28,F,Silver,Leisure
C00608,21,M,None,Leisure
C00609,18,F,None,Business
C00610,62,F,None,Business
C00611,49,F,Gold,Leisure
C00612,39,F,Silver,Business
C00613,44,F,None,Business
C00614,23,F,None,Leisure
C00615,76,F,None,Leisure
C00616,41,M,Silver,Leisure
C00617,41,F,Silver,Leisure
C00618,50,F,Silver,Business
C00619,47,F,None,Leisure
C00620,43,F,Silver,Business
C00621,28,Other,Silver,Business
C00622,47,F,None,Leisure
C00623,68,M,None,Leisure
C00624,60,M,None,Leisure
C00625,63,M,Silver,Leisure
C00626,32,F,None,Leisure
C00627,25,M,None,Leisure
C00628,38,M,None,Leisure
C00629,40,M,None,Leisure
C00630,56,F,None,Business
C00631,18,M,None,Leisure
C00632,62,M,Silver,Leisure
C00633,37,F,Gold,Leisure
C00634,33,M,None,Leisure
C00635,24,M,Silver,Leisure
C00636,18,M,None,Leisure
C00637,52,F,Silver,Business
C00638,41,M,None,Leisure
C00639,20,F,None,Business
C00640,20,M,Gold,Leisure
C00641,34,F,None,Leisure
C00642,65,F,None,Leisure
C00643,36,F,None,Leisure
C00644,18,M,Silver,Business
C00645,36,F,Silver,Leisure
C00646,35,F,Silver,Leisure
C00647,18,F,Gold,Leisure
C00648,39,F,Platinum,Leisure
C00649,36,M,None,Business
C00650,50,M,None,Business
C00651,67,M,None,Leisure
C00652,56,Other,Silver,Leisure
C00653,35,F,None,Leisure
C00654,23,M,None,Business
C00655,78,M,None,Leisure
C00656,40,F,Gold,Leisure
C00657,40,M,Gold,Leisure
C00658,39,F,None,Leisure
C00659,42,M,Gold,Business
C00660,37,M,Gold,Leisure
C00661,31,F,Silver,Business
C00662,31,M,None,Business
C00663,39,M,None,Leisure
C00664,31,F,None,Business
C00665,29,M,None,Leisure
C00666,41,F,Gold,Leisure
C00667,36,F,None,Leisure
C00668,62,M,Silver,Business
C00669,18,M,Silver,Business
C00670,56,F,None,Business
C00671,58,F,None,Leisure
C00672,18,F,None,Business
C00673,34,M,None,Business
C00674,34,F,Gold,Business
C00675,18,M,Gold,Leisure
C00676,28,F,Gold,Business
C00677,23,F,Gold,Business
C00678,66,F,Silver,Leisure
C00679,54,F,None,Business
C00680,59,M,None,Leisure
C00681,50,M,None,Leisure
C00682,23,M,Silver,Business
C00683,32,F,Gold,Leisure
C00684,47,Other,Silver,Leisure
C00685,21,F,Platinum,Business
C00686,50,M,Platinum,Leisure
C00687,36,F,Silver,Business
C00688,34,M,Silver,Leisure
C00689,50,M,None,Leisure
C00690,46,M,None,Leisure
C00691,34,Other,Gold,Leisure
C00692,57,M,Silver,Leisure
C00693,23,M,Platinum,Business
C00694,49,M,None,Business
C00695,48,F,Silver,Business
C00696,35,M,None,Leisure
C00697,44,F,None,Business
C00698,21,F,None,Business
C00699,53,M,None,Business
C00700,37,F,Gold,Leisure
C00701,32,M,None,Leisure
C00702,55,F,Platinum,Leisure
C00703,29,F,None,Leisure
C00704,18,F,None,Business
C00705,18,F,Silver,Leisure
C00706,49,F,Gold,Leisure
C00707,20,F,Silver,Leisure
C00708,66,F,None,Business
C00709,18,M,None,Leisure
C00710,65,F,None,Leisure
C00711,43,M,Silver,Leisure
C00712,38,M,None,Business
C00713,31,F,Silver,Business
C00714,45,M,None,Leisure
C00715,39,M,Silver,Leisure
C00716,56,M,None,Business
C00717,41,M,Gold,Leisure
C00718,42,M,None,Leisure
C00719,34,M,None,Leisure
C00720,39,F,Silver,Business
C00721,44,F,None,Business
C00722,18,F,None,Leisure
C00723,19,M,Gold,Leisure
C00724,51,F,Silver,Leisure
C00725,42,M,None,Business
C00726,37,M,Gold,Leisure
C00727,40,F,None,Leisure
C00728,45,F,Silver,Business
C00729,31,Other,None,Leisure
C00730,28,M,None,Business
C00731,42,F,None,Business
C00732,25,M,None,Leisure
C00733,46,F,None,Business
C00734,18,M,None,Leisure
C00735,55,M,None,Leisure
C00736,47,M,Gold,Leisure
C00737,43,F,Gold,Business
C00738,54,M,None,Leisure
C00739,64,Other,Platinum,Business
C00740,55,F,Gold,Leisure
C00741,18,F,Silver,Leisure
C00742,20,F,None,Business
C00743,30,F,Gold,Business
C00744,40,F,Gold,Leisure
C00745,47,F,None,Business
C00746,29,F,Silver,Leisure
C00747,42,M,Gold,Business
C00748,28,M,Gold,Leisure
C00749,30,F,Platinum,Leisure
C00750,18,M,Gold,Leisure
C00751,26,M,None,Leisure
C00752,19,F,Gold,Leisure
C00753,25,F,None,Leisure
C00754,55,F,None,Leisure
C00755,25,F,None,Leisure
C00756,79,F,None,Leisure
C00757,47,M,None,Leisure
C00758,42,M,None,Business
C00759,27,M,None,Business
C00760,50,M,None,Leisure
C00761,31,M,None,Business
C00762,41,M,None,Leisure
C00763,78,F,None,Leisure
C00764,38,F,Silver,Business
C00765,57,F,Gold,Business
C00766,29,F,None,Business
C00767,39,M,None,Leisure
C00768,66,F,None,Leisure
C00769,30,M,Platinum,Leisure
C00770,67,F,Gold,Leisure
C00771,50,M,None,Leisure
C00772,31,M,Gold,Business
C00773,49,M,None,Leisure
C00774,54,F,None,Leisure
C00775,49,M,Silver,Leisure
C00776,18,F,None,Leisure
C00777,29,M,Gold,Leisure
C00778,36,M,None,Leisure
C00779,38,M,Platinum,Business
C00780,49,M,Gold,Leisure
C00781,42,F,None,Business
C00782,19,F,Silver,Leisure
C00783,45,M,None,Business
C00784,49,M,None,Leisure
C00785,48,M,None,Leisure
C00786,56,M,Silver,Leisure
C00787,52,M,None,Leisure
C00788,46,F,None,Leisure
C00789,38,M,Silver,Leisure
C00790,18,F,Gold,Leisure
C00791,46,F,None,Leisure
C00792,43,M,Gold,Leisure
C00793,44,M,None,Leisure
C00794,20,F,None,Leisure
C00795,23,M,None,Leisure
C00796,55,F,None,Business
C00797,39,F,None,Leisure
C00798,50,F,None,Leisure
C00799,40,F,None,Business
C00800,40,M,None,Leisure
C00801,54,M,None,Leisure
C00802,32,F,None,Business
C00803,41,F,None,Leisure
C00804,33,F,None,Business
C00805,33,M,None,Business
C00806,35,F,Silver,Leisure
C00807,43,F,Platinum,Business
C00808,32,M,Gold,Leisure
C00809,58,F,Gold,Leisure
C00810,26,M,None,Leisure
C00811,37,F,None,Business
C00812,33,M,None,Leisure
C00813,61,F,None,Leisure
C00814,42,M,None,Business
C00815,55,F,Gold,Leisure
C00816,18,F,None,Leisure
C00817,44,F,None,Business
C00818,53,M,None,Leisure
C00819,41,M,None,Leisure
C00820,55,F,Silver,Business
C00821,32,M,Platinum,Leisure
C00822,61,M,Gold,Leisure
C00823,74,M,Gold,Leisure
C00824,34,M,None,Leisure
C00825,33,M,None,Leisure
C00826,61,F,None,Leisure
C00827,63,M,None,Business
C00828,32,M,Silver,Leisure
C00829,33,F,None,Leisure
C00830,35,M,Silver,Business
C00831,19,M,None,Leisure
C00832,26,F,Platinum,Leisure
C00833,24,F,Silver,Business
C00834,28,M,Platinum,Leisure
C00835,39,F,None,Business
C00836,43,F,None,Leisure
C00837,63,F,None,Leisure
C00838,25,F,None,Leisure
C00839,54,M,None,Business
C00840,36,M,Gold,Leisure
C00841,39,M,Silver,Business
C00842,50,M,None,Leisure
C00843,23,F,None,Leisure
C00844,45,M,None,Business
C00845,42,F,None,Leisure
C00846,47,M,Gold,Leisure
C00847,44,M,None,Business
C00848,76,Other,Platinum,Leisure
C00849,30,M,None,Leisure
C00850,32,M,None,Leisure
C00851,30,F,None,Business
C00852,31,F,Gold,Business
C00853,30,M,None,Leisure
C00854,57,F,None,Leisure
C00855,61,M,None,Leisure
C00856,31,F,None,Leisure
C00857,27,M,Silver,Business
C00858,47,F,None,Leisure
C00859,31,M,None,Business
C00860,49,F,None,Leisure
C00861,43,F,None,Leisure
C00862,18,F,Platinum,Leisure
C00863,63,F,Platinum,Leisure
C00864,66,M,Platinum,Leisure
C00865,30,F,None,Business
C00866,34,F,Silver,Leisure
C00867,44,M,Gold,Leisure
C00868,45,F,None,Leisure
C00869,49,M,None,Business
C00870,70,F,Silver,Leisure
C00871,37,F,None,Leisure
C00872,28,M,None,Leisure
C00873,19,F,None,Leisure
C00874,29,M,Silver,Leisure
C00875,39,M,Gold,Leisure
C00876,66,M,None,Leisure
C00877,32,M,None,Business
C00878,43,F,Gold,Leisure
C00879,39,F,None,Leisure
C00880,57,M,None,Business
C00881,77,M,Platinum,Business
C00882,32,M,None,Leisure
C00883,32,F,Silver,Leisure
C00884,55,F,None,Business
C00885,50,F,None,Leisure
C00886,67,F,None,Leisure
C00887,48,M,None,Leisure
C00888,34,F,Gold,Business
C00889,48,F,None,Leisure
C00890,56,M,None,Leisure
C00891,52,M,None,Business
C00892,47,F,Platinum,Leisure
C00893,56,F,Platinum,Leisure
C00894,57,M,Gold,Business
C00895,60,F,Silver,Business
C00896,49,F,None,Leisure
C00897,37,F,None,Leisure
C00898,42,F,Gold,Leisure
C00899,58,M,None,Leisure
C00900,27,F,None,Leisure
C00901,45,M,None,Leisure
C00902,34,M,Silver,Leisure
C00903,40,F,None,Leisure
C00904,59,M,None,Leisure
C00905,42,F,None,Leisure
C00906,40,M,Silver,Leisure
C00907,19,F,Gold,Business
C00908,51,M,None,Leisure
C00909,49,F,Gold,Leisure
C00910,72,M,None,Business
C00911,35,F,None,Leisure
C00912,43,M,None,Leisure
C00913,43,M,None,Business
C00914,63,M,None,Leisure
C00915,38,Other,None,Leisure
C00916,44,F,Gold,Leisure
